GL_ID,date,year,month,LST_Day_C,LST_Night_C,LST_Scan_Count
GL086609E28036N,2024-01,2024,1,-4.786918768810669,-16.141262550786873,4
GL086609E28036N,2024-02,2024,2,-4.272019450800888,-15.114101716485052,4
GL086609E28036N,2024-03,2024,3,1.9313166713208885,-12.254460721566366,4
GL086609E28036N,2024-04,2024,4,8.457611235222972,-7.807013377978968,4
GL086609E28036N,2024-05,2024,5,7.57423329920261,-5.230783611033512,3
GL086609E28036N,2024-06,2024,6,11.732976822116756,-1.591342269384687,4
GL086609E28036N,2024-07,2024,7,1.5100957988147603,-3.1075515064072445,4
GL086609E28036N,2024-08,2024,8,4.931636724688975,-5.5380387228892936,4
GL086609E28036N,2024-09,2024,9,2.7836491979273625,-3.960846265455435,4
GL086609E28036N,2024-10,2024,10,4.535285302057184,-7.113981507338084,4
GL086609E28036N,2024-11,2024,11,0.1881501132520662,-10.699005709143908,3
GL086609E28036N,2024-12,2024,12,-3.345718762605079,-13.261902178973806,4
GL086609E28036N,2025-01,2025,1,-4.142926789537347,-11.93547325681265,4
GL086609E28036N,2025-02,2025,2,-2.830044292407431,-13.213277192160508,4
GL086609E28036N,2025-03,2025,3,1.4752113003816758,-9.408048176778292,4
GL086609E28036N,2025-04,2025,4,6.67895715039253,-8.724639237846146,3
GL086609E28036N,2025-05,2025,5,7.0547949827795104,-5.844898930955576,4
GL086609E28036N,2025-06,2025,6,8.474398678209097,-2.8269411865090177,4
GL086609E28036N,2025-07,2025,7,3.7286837165286224,-4.919006447969101,4
GL086609E28036N,2025-08,2025,8,4.313501737565576,-3.8192139842998287,4
GL086609E28036N,2025-09,2025,9,1.6825300195476405,-5.653728164075803,4
GL086609E28036N,2025-10,2025,10,-4.444156660150767,-11.939338639113814,3
GL086609E28036N,2025-11,2025,11,-7.377877222377334,-13.779101740668311,4
GL086609E28036N,2025-12,2025,12,-8.396477163424215,-15.113969328865291,4
GL086612E27779N,2015-01,2015,1,-11.452563671984306,-19.09510938520381,4
GL086612E27779N,2015-02,2015,2,-7.286350172590705,-17.53075333519916,4
GL086612E27779N,2015-03,2015,3,-2.539844668345901,-13.782348633268006,4
GL086612E27779N,2015-04,2015,4,0.969350374724039,-11.740950026432788,3
GL086612E27779N,2015-05,2015,5,2.4246545853158232,-6.566517165780366,4
GL086612E27779N,2015-06,2015,6,3.2160356221040827,-3.750369204216781,4
GL086612E27779N,2015-07,2015,7,2.509461159312153,-6.337806931616727,4
GL086612E27779N,2015-08,2015,8,1.6604045775414704,-4.134174751997983,4
GL086612E27779N,2015-09,2015,9,5.166388344683925,-3.580089327362601,4
GL086612E27779N,2015-10,2015,10,5.2098244550176025,-8.165836365332563,3
GL086612E27779N,2015-11,2015,11,2.0442986752495864,-10.487260938520356,4
GL086612E27779N,2015-12,2015,12,-0.8080831545230927,-12.521907593991944,4
GL086612E27779N,2016-01,2016,1,-3.3749266878128936,-15.908999673476975,4
GL086612E27779N,2016-02,2016,2,-0.5254435270702824,-13.065275367727065,4
GL086612E27779N,2016-03,2016,3,2.462080495693036,-11.846070995428658,4
GL086612E27779N,2016-04,2016,4,8.07866195540632,-7.916487778710677,4
GL086612E27779N,2016-05,2016,5,4.343641819821532,-5.72536617221753,3
GL086612E27779N,2016-06,2016,6,1.4996191342476275,-3.974991759181493,4
GL086612E27779N,2016-07,2016,7,-0.3926606921641223,-4.516259834561657,4
GL086612E27779N,2016-08,2016,8,4.761026137388467,-4.1463427092079215,4
GL086612E27779N,2016-09,2016,9,-1.2131671953229195,-3.9483205056441566,4
GL086612E27779N,2016-10,2016,10,2.505326756227289,-7.881688123892132,4
GL086612E27779N,2016-11,2016,11,3.9838472183350704,-8.73294026184032,3
GL086612E27779N,2016-12,2016,12,1.5664933762478128,-9.987970426345717,4
GL086612E27779N,2017-01,2017,1,-7.808853982025666,-17.822620347047277,4
GL086612E27779N,2017-02,2017,2,-0.624444444444416,-13.12421681126968,4
GL086612E27779N,2017-03,2017,3,0.088308455390769,-12.763548605280322,4
GL086612E27779N,2017-04,2017,4,4.187649656373448,-8.031516932549648,3
GL086612E27779N,2017-05,2017,5,3.3127643281400947,-6.223504991137203,4
GL086612E27779N,2017-06,2017,6,4.503797851167739,-4.958748173026064,4
GL086612E27779N,2017-07,2017,7,-1.114411947631902,-6.918746773641795,4
GL086612E27779N,2017-08,2017,8,-2.096273622438805,-4.032605187051005,4
GL086612E27779N,2017-09,2017,9,4.093946341387597,-2.542624078738659,4
GL086612E27779N,2017-10,2017,10,5.393954038001089,-6.85172062070464,3
GL086612E27779N,2017-11,2017,11,1.4743392573934415,-10.655959511148406,4
GL086612E27779N,2017-12,2017,12,1.071502783219858,-10.740131308890732,4
GL086612E27779N,2018-01,2018,1,0.4444551730572177,-12.05560709954284,4
GL086612E27779N,2018-02,2018,2,0.2817210094225503,-13.892945703890264,4
GL086612E27779N,2018-03,2018,3,3.0772545635476254,-12.735019591379762,4
GL086612E27779N,2018-04,2018,4,2.706398917809526,-10.815598780980784,3
GL086612E27779N,2018-05,2018,5,3.839813415430573,-6.065721538078777,4
GL086612E27779N,2018-06,2018,6,1.2095657271378952,-3.5085217837484595,4
GL086612E27779N,2018-07,2018,7,0.3504647510651149,-5.270548792041659,4
GL086612E27779N,2018-08,2018,8,-1.0191172033790368,-7.510034595888894,4
GL086612E27779N,2018-09,2018,9,4.154084102994713,-3.831647075286847,4
GL086612E27779N,2018-10,2018,10,5.1455182386416976,-9.20125664707526,3
GL086612E27779N,2018-11,2018,11,2.597935208508286,-10.152596790745378,4
GL086612E27779N,2018-12,2018,12,-3.788029278228664,-15.808120860154837,4
GL086612E27779N,2019-01,2019,1,-8.94402649500884,-19.32310266815933,4
GL086612E27779N,2019-02,2019,2,-9.068611955183613,-18.47954566657336,4
GL086612E27779N,2019-03,2019,3,-1.139866825263524,-13.608804459371186,4
GL086612E27779N,2019-04,2019,4,0.679865814597161,-10.15473116273282,3
GL086612E27779N,2019-05,2019,5,6.097690549491589,-5.725020291071901,4
GL086612E27779N,2019-06,2019,6,6.333051901607771,-3.17357309450506,4
GL086612E27779N,2019-07,2019,7,1.8557390303822183,-5.007809963615983,4
GL086612E27779N,2019-08,2019,8,3.5690772615604947,-6.042897347389346,4
GL086612E27779N,2019-09,2019,9,0.2171726218242022,-6.1432426843299766,4
GL086612E27779N,2019-10,2019,10,2.2985995273191207,-8.145666884348634,3
GL086612E27779N,2019-11,2019,11,1.750054809217307,-9.42926065864351,4
GL086612E27779N,2019-12,2019,12,-5.311577650278291,-16.11311363000277,4
GL086612E27779N,2020-01,2020,1,-10.449347109494022,-19.558988478402814,4
GL086612E27779N,2020-02,2020,2,-5.621757548900678,-16.664131215598438,4
GL086612E27779N,2020-03,2020,3,-1.782142068600901,-15.553759679074522,4
GL086612E27779N,2020-04,2020,4,-0.2280158285909462,-11.560293404235448,4
GL086612E27779N,2020-05,2020,5,1.8925179587648389,-6.253147370712415,3
GL086612E27779N,2020-06,2020,6,-0.2433134309792296,-4.299874988338441,4
GL086612E27779N,2020-07,2020,7,-1.88338487732062,-2.956448129489666,4
GL086612E27779N,2020-08,2020,8,3.8721813291041136,-2.8862852567092414,4
GL086612E27779N,2020-09,2020,9,1.716158379202067,-3.4096979662281663,4
GL086612E27779N,2020-10,2020,10,5.587082050564446,-6.517952312093764,4
GL086612E27779N,2020-11,2020,11,1.947874957241064,-11.107453431601176,3
GL086612E27779N,2020-12,2020,12,0.0584577230463333,-11.913412165313904,4
GL086612E27779N,2021-01,2021,1,0.7152089747178199,-11.92840143670116,4
GL086612E27779N,2021-02,2021,2,-1.9834604440712469,-15.027319945890444,4
GL086612E27779N,2021-03,2021,3,2.1029320210218923,-12.448570295736518,4
GL086612E27779N,2021-04,2021,4,3.393421961003856,-11.090448113940951,3
GL086612E27779N,2021-05,2021,5,1.245405665951455,-8.651539555928702,4
GL086612E27779N,2021-06,2021,6,1.1912312249277262,-5.687207917405205,4
GL086612E27779N,2021-07,2021,7,-1.6063146460114026,-6.4971972519424,4
GL086612E27779N,2021-08,2021,8,-1.6370611900746537,-3.837231473707101,4
GL086612E27779N,2021-09,2021,9,2.8856701495786616,-3.843408666853224,4
GL086612E27779N,2021-10,2021,10,2.477692259850137,-6.940421059178383,3
GL086612E27779N,2021-11,2021,11,1.6545046957116942,-9.532651366731942,4
GL086612E27779N,2021-12,2021,12,-3.915571337500362,-16.54084515035604,4
GL086612E27779N,2022-01,2022,1,-12.706013555576286,-19.90566610691293,4
GL086612E27779N,2022-02,2022,2,-8.03989901110176,-18.453256833659832,4
GL086612E27779N,2022-03,2022,3,3.9319979320210514,-8.37933614765057,4
GL086612E27779N,2022-04,2022,4,7.769128494573529,-7.264131915290585,3
GL086612E27779N,2022-05,2022,5,1.9756688279379584,-5.111822231551427,4
GL086612E27779N,2022-06,2022,6,3.11045495537522,-3.242363015828563,4
GL086612E27779N,2022-07,2022,7,2.8669659794135303,-3.469348664365433,4
GL086612E27779N,2022-08,2022,8,3.3866775507665823,-1.4261747830954117,4
GL086612E27779N,2022-09,2022,9,1.0963029822433976,-6.185706611313221,4
GL086612E27779N,2022-10,2022,10,0.84818173337068,-6.386108312342543,3
GL086612E27779N,2022-11,2022,11,2.4711066797276167,-9.717225487452168,4
GL086612E27779N,2022-12,2022,12,-0.1706372640482366,-11.223748017538924,4
GL086612E27779N,2023-01,2023,1,-1.5438214074695753,-12.857819526075174,4
GL086612E27779N,2023-02,2023,2,1.4941246851385677,-11.452340470193093,4
GL086612E27779N,2023-03,2023,3,-2.435617594924872,-15.253078412165287,4
GL086612E27779N,2023-04,2023,4,2.380570482321143,-10.687210871660891,3
GL086612E27779N,2023-05,2023,5,1.88225293093264,-9.206261544920212,4
GL086612E27779N,2023-06,2023,6,5.591529915725997,-2.116290465528472,4
GL086612E27779N,2023-07,2023,7,-0.1513263053145222,-6.186998165251707,4
GL086612E27779N,2023-08,2023,8,1.7228765121124765,-2.680470504089285,4
GL086612E27779N,2023-09,2023,9,2.7056165065149407,-3.179114422987192,4
GL086612E27779N,2023-10,2023,10,3.39206580215819,-7.962280685387293,3
GL086612E27779N,2023-11,2023,11,1.891749619056535,-10.680903535777563,4
GL086612E27779N,2023-12,2023,12,-2.2945447336504987,-12.2286904095531,4
GL086612E27779N,2024-01,2024,1,-5.239277140280474,-15.750732033460803,4
GL086612E27779N,2024-02,2024,2,-4.263984202506423,-15.246509935628302,4
GL086612E27779N,2024-03,2024,3,0.4757309450508728,-11.928316773952764,4
GL086612E27779N,2024-04,2024,4,5.002131728706066,-8.357748390708068,4
GL086612E27779N,2024-05,2024,5,4.267473955903877,-5.237828777560071,3
GL086612E27779N,2024-06,2024,6,5.42386820909914,-1.8919263301924656,4
GL086612E27779N,2024-07,2024,7,2.151679727586556,-1.4292510961843183,4
GL086612E27779N,2024-08,2024,8,3.4005020679790112,-2.816036943744726,4
GL086612E27779N,2024-09,2024,9,3.649358382311813,-2.4394322387038323,4
GL086612E27779N,2024-10,2024,10,3.982616459868799,-6.045562319246172,4
GL086612E27779N,2024-11,2024,11,0.7104120409242447,-9.571525017880996,3
GL086612E27779N,2024-12,2024,12,-2.218291507292321,-11.865765696426877,4
GL086612E27779N,2025-01,2025,1,-4.164663448082816,-11.201769754641267,4
GL086612E27779N,2025-02,2025,2,-3.355427434151169,-13.724800121279944,4
GL086612E27779N,2025-03,2025,3,-0.2239337469291013,-10.318639332027216,4
GL086612E27779N,2025-04,2025,4,5.025180520570983,-8.666978573871923,3
GL086612E27779N,2025-05,2025,5,4.6057660851447935,-4.790098423360361,4
GL086612E27779N,2025-06,2025,6,7.589605529122777,-1.6310397425132666,4
GL086612E27779N,2025-07,2025,7,3.9593534844668654,-3.361102481574749,4
GL086612E27779N,2025-08,2025,8,1.601313166651147,-3.423097770314369,4
GL086612E27779N,2025-09,2025,9,1.0870062505831073,-3.158060842118331,4
GL086612E27779N,2025-10,2025,10,0.1386537923314013,-8.671504493578349,3
GL086612E27779N,2025-11,2025,11,-4.528453291662753,-10.45476163821249,4
GL086612E27779N,2025-12,2025,12,-5.7922807631308615,-12.05704893180331,4
GL086613E27789N,2015-01,2015,1,-10.789089028846874,-18.610778399813363,4
GL086613E27789N,2015-02,2015,2,-6.4388049140813,-16.98199953347326,4
GL086613E27789N,2015-03,2015,3,-2.2069567685249702,-13.17885584324699,4
GL086613E27789N,2015-04,2015,4,1.578868828240445,-10.946334344141174,3
GL086613E27789N,2015-05,2015,5,3.7900328901329865,-5.856853355104552,4
GL086613E27789N,2015-06,2015,6,3.917487520410573,-3.49104362024723,4
GL086613E27789N,2015-07,2015,7,2.649709898141696,-6.137481533317755,4
GL086613E27789N,2015-08,2015,8,1.6150514734468853,-3.8958614415675,4
GL086613E27789N,2015-09,2015,9,5.54548052250994,-3.1883112510690945,4
GL086613E27789N,2015-10,2015,10,6.05365725837807,-7.539698157219474,3
GL086613E27789N,2015-11,2015,11,2.8298622191120724,-9.945372754840184,4
GL086613E27789N,2015-12,2015,12,-0.4831343596920628,-11.943069745742916,4
GL086613E27789N,2016-01,2016,1,-3.110035922556537,-15.420400279915992,4
GL086613E27789N,2016-02,2016,2,0.4179656325324913,-12.356961511546508,4
GL086613E27789N,2016-03,2016,3,4.10481999844494,-11.257468159552108,4
GL086613E27789N,2016-04,2016,4,9.44923116398417,-7.292169349195214,4
GL086613E27789N,2016-05,2016,5,5.553405489464299,-5.342078376487024,3
GL086613E27789N,2016-06,2016,6,1.7613645128683892,-3.61334476323767,4
GL086613E27789N,2016-07,2016,7,-0.0405439701422633,-4.47193460850631,4
GL086613E27789N,2016-08,2016,8,4.865227120752691,-3.8797727237384048,4
GL086613E27789N,2016-09,2016,9,-1.0015554000466254,-3.6196237462094407,4
GL086613E27789N,2016-10,2016,10,3.40980608039813,-7.304140191275925,4
GL086613E27789N,2016-11,2016,11,4.6430072311640105,-8.193107067879613,3
