GL_ID,date,year,month,GPM_Precipitation_mm,GPM_Scan_Count
GL086894E27885N,2017-06,2017,6,137.74882797613836,1440
GL086894E27885N,2017-07,2017,7,276.2428050259032,1488
GL086894E27885N,2017-08,2017,8,304.1267268195652,1488
GL086894E27885N,2017-09,2017,9,144.4157043867321,1440
GL086894E27885N,2017-10,2017,10,70.43964142110441,1488
GL086894E27885N,2017-11,2017,11,5.994538776159239,1440
GL086894E27885N,2017-12,2017,12,5.28733750057177,1488
GL086894E27885N,2018-01,2018,1,5.979636289717558,1488
GL086894E27885N,2018-02,2018,2,10.82730497718583,1344
GL086894E27885N,2018-03,2018,3,19.622032097468228,1488
GL086894E27885N,2018-04,2018,4,36.455551070209545,1440
GL086894E27885N,2018-05,2018,5,59.33609610436751,1488
GL086894E27885N,2018-06,2018,6,117.30978946734896,1440
GL086894E27885N,2018-07,2018,7,291.26063628068994,1488
GL086894E27885N,2018-08,2018,8,252.18936389056944,1488
GL086894E27885N,2018-09,2018,9,131.1106595564392,1440
GL086894E27885N,2018-10,2018,10,24.679038475424825,1488
GL086894E27885N,2018-11,2018,11,5.736733570072025,1440
GL086894E27885N,2018-12,2018,12,7.960019297238634,1488
GL086894E27885N,2019-01,2019,1,3.3574414704442512,1488
GL086894E27885N,2019-02,2019,2,6.443564688738484,1344
GL086894E27885N,2019-03,2019,3,23.048272336313094,1488
GL086894E27885N,2019-04,2019,4,73.06129029943523,1440
GL086894E27885N,2019-05,2019,5,60.3059142691797,1488
GL086894E27885N,2019-06,2019,6,85.48497872017083,1440
GL086894E27885N,2019-07,2019,7,311.69298564567686,1488
GL086894E27885N,2019-08,2019,8,216.22762492467203,1488
GL086894E27885N,2019-09,2019,9,229.6909753681197,1440
GL086894E27885N,2019-10,2019,10,27.1978240633843,1488
GL086894E27885N,2019-11,2019,11,2.3662336875999035,1440
GL086894E27885N,2019-12,2019,12,15.317895721257122,1488
GL086894E27885N,2020-01,2020,1,1.938051885973614,1488
GL086894E27885N,2020-02,2020,2,11.221941355253,1392
GL086894E27885N,2020-03,2020,3,28.622544928550628,1488
GL086894E27885N,2020-04,2020,4,66.96521918822758,1440
GL086894E27885N,2020-05,2020,5,83.65894620975648,1488
GL086894E27885N,2020-06,2020,6,239.53061108466525,1440
GL086894E27885N,2020-07,2020,7,299.5697136102123,1488
GL086894E27885N,2020-08,2020,8,292.1765518195492,1488
GL086894E27885N,2020-09,2020,9,239.0772673379292,1440
GL086894E27885N,2020-10,2020,10,29.62036942555146,1488
GL086894E27885N,2020-11,2020,11,4.828279120273066,1440
