GL_ID,date,year,month,ERA5_temp_K,ERA5_temp_C
GL086859E27963N,2021-07,2021,7,272.5361712055821,-0.6138287944178273
GL086859E27963N,2021-08,2021,8,272.39995907199,-0.7500409280099802
GL086859E27963N,2021-09,2021,9,270.34158386654326,-2.808416133456717
GL086859E27963N,2021-10,2021,10,266.6515301940262,-6.498469805973798
GL086859E27963N,2021-11,2021,11,261.41358981662324,-11.736410183376734
GL086859E27963N,2021-12,2021,12,255.3482812040596,-17.801718795940417
GL086859E27963N,2022-01,2022,1,250.57832381545856,-22.571676184541417
GL086859E27963N,2022-02,2022,2,250.0863970801944,-23.06360291980559
GL086859E27963N,2022-03,2022,3,261.2758333554832,-11.874166644516777
GL086859E27963N,2022-04,2022,4,264.701768345303,-8.448231654696997
GL086859E27963N,2022-05,2022,5,267.76386070251465,-5.386139297485329
GL086859E27963N,2022-06,2022,6,271.24036994510226,-1.9096300548977183
GL086859E27963N,2022-07,2022,7,272.2943907091695,-0.8556092908305004
GL086859E27963N,2022-08,2022,8,272.2291555917392,-0.920844408260848
GL086859E27963N,2022-09,2022,9,270.4473638958401,-2.7026361041598648
GL086859E27963N,2022-10,2022,10,264.40270017808484,-8.747299821915135
GL086859E27963N,2022-11,2022,11,260.25682741800944,-12.89317258199054
GL086859E27963N,2022-12,2022,12,258.36833108881467,-14.781668911185308
GL086859E27963N,2023-01,2023,1,255.535666004304,-17.614333995696
GL086859E27963N,2023-02,2023,2,257.5848378453936,-15.565162154606412
GL086859E27963N,2023-03,2023,3,257.20556144304174,-15.944438556958232
GL086859E27963N,2023-04,2023,4,260.0406850179036,-13.10931498209635
GL086859E27963N,2023-05,2023,5,263.7913038397348,-9.358696160265197
GL086859E27963N,2023-06,2023,6,270.22783525254994,-2.92216474745004
GL086859E27963N,2023-07,2023,7,272.87342467359315,-0.276575326406828
GL086859E27963N,2023-08,2023,8,272.751059357838,-0.3989406421620174
GL086859E27963N,2023-09,2023,9,270.6635274251302,-2.486472574869765
GL086859E27963N,2023-10,2023,10,264.7250896576912,-8.424910342308749
GL086859E27963N,2023-11,2023,11,260.1729525036282,-12.977047496371767
GL086859E27963N,2023-12,2023,12,257.0748040599208,-16.075195940079197
GL086859E27963N,2024-01,2024,1,253.82877977432744,-19.321220225672533
GL086859E27963N,2024-02,2024,2,254.51288771355289,-18.63711228644709
GL086859E27963N,2024-03,2024,3,257.59604607858967,-15.553953921410312
GL086859E27963N,2024-04,2024,4,262.8387282265557,-10.311271773444275
GL086859E27963N,2024-05,2024,5,267.6610673268636,-5.488932673136389
GL086859E27963N,2024-06,2024,6,272.63817426893445,-0.5118257310655281
GL086859E27963N,2024-07,2024,7,273.6399618374404,0.4899618374404326
GL086859E27963N,2024-08,2024,8,272.51930562911497,-0.6306943708850099
GL086859E27963N,2024-09,2024,9,271.54137549930147,-1.608624500698511
GL086859E27963N,2024-10,2024,10,265.4538343491093,-7.696165650890691
GL086859E27963N,2024-11,2024,11,261.21007169087727,-11.939928309122706
GL086859E27963N,2024-12,2024,12,257.46400238365254,-15.685997616347436
GL086859E27963N,2025-01,2025,1,256.24054199136714,-16.90945800863284
GL086859E27963N,2025-02,2025,2,256.9668976238796,-16.183102376120416
GL086859E27963N,2025-03,2025,3,260.01738976919523,-13.132610230804744
GL086859E27963N,2025-04,2025,4,262.64468987782794,-10.505310122172034
GL086859E27963N,2025-05,2025,5,267.90630791776925,-5.243692082230723
GL086859E27963N,2025-06,2025,6,271.2390129301283,-1.9109870698716804
GL086859E27963N,2025-07,2025,7,273.3386406437043,0.1886406437043319
GL086859E27963N,2025-08,2025,8,272.9991948117492,-0.1508051882507857
GL086859E27963N,2025-09,2025,9,271.62768508063425,-1.5223149193657264
GL086859E27963N,2025-10,2025,10,264.94054861991634,-8.209451380083635
GL086859E27963N,2025-11,2025,11,258.8230402416653,-14.32695975833468
GL086859E27963N,2025-12,2025,12,257.9223770838912,-15.227622916108771
GL086862E27626N,2015-01,2015,1,268.711006533715,-4.438993466284956
GL086862E27626N,2015-02,2015,2,269.9614514850435,-3.1885485149564943
GL086862E27626N,2015-03,2015,3,272.52693703354043,-0.6230629664595426
GL086862E27626N,2015-04,2015,4,275.88198659684923,2.7319865968492536
GL086862E27626N,2015-05,2015,5,280.44558488169025,7.295584881690274
GL086862E27626N,2015-06,2015,6,283.5217392603556,10.37173926035564
GL086862E27626N,2015-07,2015,7,284.4227102751373,11.272710275137342
GL086862E27626N,2015-08,2015,8,284.13002498175507,10.980024981755092
GL086862E27626N,2015-09,2015,9,283.2190981970893,10.069098197089318
GL086862E27626N,2015-10,2015,10,278.65045933056905,5.500459330569072
GL086862E27626N,2015-11,2015,11,275.3183306588067,2.168330658806724
GL086862E27626N,2015-12,2015,12,271.7136265129172,-1.4363734870828466
GL086862E27626N,2016-01,2016,1,269.1989579149472,-3.951042085052791
GL086862E27626N,2016-02,2016,2,272.4592895727048,-0.690710427295187
GL086862E27626N,2016-03,2016,3,275.0330445074266,1.883044507426632
GL086862E27626N,2016-04,2016,4,279.10786137051053,5.957861370510557
GL086862E27626N,2016-05,2016,5,280.5822133915399,7.432213391539904
GL086862E27626N,2016-06,2016,6,283.8431885825263,10.693188582526318
GL086862E27626N,2016-07,2016,7,284.4295891997635,11.279589199763508
GL086862E27626N,2016-08,2016,8,284.538947895009,11.38894789500904
GL086862E27626N,2016-09,2016,9,283.22823157840304,10.078231578403065
GL086862E27626N,2016-10,2016,10,279.914142342024,6.764142342024002
GL086862E27626N,2016-11,2016,11,276.19280359480115,3.042803594801171
GL086862E27626N,2016-12,2016,12,275.52715996773014,2.377159967730165
GL086862E27626N,2017-01,2017,1,269.1720855876964,-3.977914412303619
GL086862E27626N,2017-02,2017,2,272.80374154590424,-0.3462584540957323
GL086862E27626N,2017-03,2017,3,272.9165410277664,-0.2334589722335636
GL086862E27626N,2017-04,2017,4,278.0573463228014,4.907346322801402
GL086862E27626N,2017-05,2017,5,280.34596480092694,7.195964800926959
GL086862E27626N,2017-06,2017,6,283.6627214007908,10.51272140079078
GL086862E27626N,2017-07,2017,7,284.45921167763333,11.309211677633357
GL086862E27626N,2017-08,2017,8,284.5555993151921,11.405599315192148
GL086862E27626N,2017-09,2017,9,283.38232633802625,10.232326338026269
GL086862E27626N,2017-10,2017,10,279.97717955804643,6.827179558046453
GL086862E27626N,2017-11,2017,11,274.8619332207573,1.7119332207573734
GL086862E27626N,2017-12,2017,12,274.5063593464513,1.3563593464513133
GL086862E27626N,2018-01,2018,1,271.9110803091398,-1.2389196908602005
GL086862E27626N,2018-02,2018,2,272.74949384870985,-0.4005061512901307
GL086862E27626N,2018-03,2018,3,274.39443897944625,1.2444389794462722
GL086862E27626N,2018-04,2018,4,277.22462906307646,4.074629063076486
GL086862E27626N,2018-05,2018,5,280.11720854236233,6.967208542362357
GL086862E27626N,2018-06,2018,6,283.8984854168362,10.748485416836218
GL086862E27626N,2018-07,2018,7,284.92426769707794,11.77426769707796
GL086862E27626N,2018-08,2018,8,284.51694878198765,11.366948781987674
GL086862E27626N,2018-09,2018,9,283.1066007402208,9.956600740220836
GL086862E27626N,2018-10,2018,10,277.1467729794082,3.996772979408206
GL086862E27626N,2018-11,2018,11,274.9444094128079,1.7944094128079089
GL086862E27626N,2018-12,2018,12,270.4712613833848,-2.678738616615192
GL086862E27626N,2019-01,2019,1,267.34028422447943,-5.809715775520544
GL086862E27626N,2019-02,2019,2,269.295113881429,-3.85488611857096
GL086862E27626N,2019-03,2019,3,271.7506269434447,-1.399373056555305
GL086862E27626N,2019-04,2019,4,277.30023487938774,4.150234879387767
GL086862E27626N,2019-05,2019,5,280.3833124919604,7.233312491960419
GL086862E27626N,2019-06,2019,6,283.7489583545261,10.598958354526133
GL086862E27626N,2019-07,2019,7,284.6440818130329,11.494081813032947
GL086862E27626N,2019-08,2019,8,284.82390545260523,11.673905452605254
GL086862E27626N,2019-09,2019,9,283.0426605012682,9.89266050126821
GL086862E27626N,2019-10,2019,10,279.3452299999934,6.195229999993444
GL086862E27626N,2019-11,2019,11,276.3509898927477,3.200989892747714
GL086862E27626N,2019-12,2019,12,269.81485990298694,-3.3351400970130385
GL086862E27626N,2020-01,2020,1,267.6699539512716,-5.480046048728354
GL086862E27626N,2020-02,2020,2,269.996311582368,-3.1536884176319973
GL086862E27626N,2020-03,2020,3,272.76169319563013,-0.3883068043698472
GL086862E27626N,2020-04,2020,4,276.5840380562676,3.4340380562676387
GL086862E27626N,2020-05,2020,5,280.19937168654576,7.049371686545783
GL086862E27626N,2020-06,2020,6,283.8830578274197,10.733057827419714
GL086862E27626N,2020-07,2020,7,284.8748389213316,11.72483892133164
GL086862E27626N,2020-08,2020,8,285.1853854476765,12.035385447676504
GL086862E27626N,2020-09,2020,9,283.99687447018096,10.846874470180978
GL086862E27626N,2020-10,2020,10,281.28686687510503,8.136866875105056
GL086862E27626N,2020-11,2020,11,275.156062634786,2.0060626347860198
GL086862E27626N,2020-12,2020,12,273.0404166970202,-0.1095833029797859
GL086862E27626N,2021-01,2021,1,273.52457362349315,0.3745736234931769
GL086862E27626N,2021-02,2021,2,272.4068070139204,-0.7431929860795776
GL086862E27626N,2021-03,2021,3,275.30591072574737,2.1559107257473897
GL086862E27626N,2021-04,2021,4,277.18473137749567,4.034731377495689
GL086862E27626N,2021-05,2021,5,280.85457342414446,7.704573424144485
GL086862E27626N,2021-06,2021,6,284.12496174706354,10.97496174706356
GL086862E27626N,2021-07,2021,7,284.91988413820985,11.769884138209877
GL086862E27626N,2021-08,2021,8,284.6647702699066,11.514770269906649
GL086862E27626N,2021-09,2021,9,283.66496711307104,10.514967113071066
GL086862E27626N,2021-10,2021,10,281.0586018716135,7.908601871613541
GL086862E27626N,2021-11,2021,11,276.0705478244358,2.9205478244358005
GL086862E27626N,2021-12,2021,12,271.75638982301115,-1.3936101769888296
GL086862E27626N,2022-01,2022,1,267.6508677082677,-5.4991322917322805
GL086862E27626N,2022-02,2022,2,267.460324605306,-5.689675394694007
GL086862E27626N,2022-03,2022,3,276.8848487074657,3.734848707465744
GL086862E27626N,2022-04,2022,4,279.870860142178,6.720860142178026
GL086862E27626N,2022-05,2022,5,281.4414611939461,8.291461193946134
GL086862E27626N,2022-06,2022,6,284.1020018895467,10.95200188954675
GL086862E27626N,2022-07,2022,7,284.9720857066493,11.822085706649318
GL086862E27626N,2022-08,2022,8,285.0027847290039,11.852784729003927
GL086862E27626N,2022-09,2022,9,283.6349588394165,10.48495883941655
GL086862E27626N,2022-10,2022,10,279.8457471580916,6.695747158091592
GL086862E27626N,2022-11,2022,11,275.9206918928358,2.770691892835828
GL086862E27626N,2022-12,2022,12,273.6152858939222,0.4652858939222142
GL086862E27626N,2023-01,2023,1,272.196809317476,-0.9531906825239956
GL086862E27626N,2023-02,2023,2,273.88233772913617,0.7323377291361908
GL086862E27626N,2023-03,2023,3,274.2895694445538,1.1395694445538425
GL086862E27626N,2023-04,2023,4,277.4072404649523,4.257240464952304
GL086862E27626N,2023-05,2023,5,279.6667737448087,6.516773744808745
GL086862E27626N,2023-06,2023,6,284.0956059773763,10.945605977376315
GL086862E27626N,2023-07,2023,7,285.2160222248365,12.066022224836502
GL086862E27626N,2023-08,2023,8,285.3141132682882,12.164113268288247
GL086862E27626N,2023-09,2023,9,284.26000637478296,11.110006374782984
GL086862E27626N,2023-10,2023,10,279.5955218653525,6.445521865352532
GL086862E27626N,2023-11,2023,11,275.9523171954685,2.802317195468504
GL086862E27626N,2023-12,2023,12,273.13070176237375,-0.0192982376262307
GL086862E27626N,2024-01,2024,1,270.17071840840003,-2.9792815915999427
GL086862E27626N,2024-02,2024,2,271.643017472892,-1.5069825271079935
GL086862E27626N,2024-03,2024,3,275.11533056279666,1.96533056279668
GL086862E27626N,2024-04,2024,4,279.4507697847154,6.300769784715442
GL086862E27626N,2024-05,2024,5,281.8439549066687,8.69395490666875
GL086862E27626N,2024-06,2024,6,284.9380060831706,11.788006083170616
GL086862E27626N,2024-07,2024,7,286.1203072045439,12.970307204543928
GL086862E27626N,2024-08,2024,8,285.26371402125204,12.113714021252065
GL086862E27626N,2024-09,2024,9,284.6132532119751,11.463253211975143
GL086862E27626N,2024-10,2024,10,280.77367431886734,7.623674318867359
GL086862E27626N,2024-11,2024,11,276.48144484625925,3.3314448462592736
GL086862E27626N,2024-12,2024,12,273.3563757455477,0.2063757455477457
GL086862E27626N,2025-01,2025,1,272.92782672759023,-0.2221732724097478
GL086862E27626N,2025-02,2025,2,273.0283978098915,-0.12160219010849
GL086862E27626N,2025-03,2025,3,276.12238073861727,2.9723807386172894
GL086862E27626N,2025-04,2025,4,278.72411967383493,5.574119673834957
GL086862E27626N,2025-05,2025,5,281.89262029176115,8.74262029176117
GL086862E27626N,2025-06,2025,6,284.6061922921075,11.456192292107517
GL086862E27626N,2025-07,2025,7,285.55546902072047,12.405469020720489
GL086862E27626N,2025-08,2025,8,285.0117693665207,11.861769366520718
GL086862E27626N,2025-09,2025,9,284.319804763794,11.16980476379399
GL086862E27626N,2025-10,2025,10,280.0232072850709,6.873207285070976
GL086862E27626N,2025-11,2025,11,275.9685670428806,2.818567042880602
GL086862E27626N,2025-12,2025,12,274.0122549610753,0.8622549610753367
GL086862E27829N,2015-01,2015,1,257.4599170889905,-15.690082911009426
GL086862E27829N,2015-02,2015,2,259.67676898411344,-13.47323101588654
GL086862E27829N,2015-03,2015,3,261.75149128001226,-11.398508719987715
GL086862E27829N,2015-04,2015,4,265.0212064319187,-8.128793568081278
GL086862E27829N,2015-05,2015,5,270.7519734905612,-2.3980265094387505
GL086862E27829N,2015-06,2015,6,275.14823123084176,1.9982312308417816
GL086862E27829N,2015-07,2015,7,276.1898184950634,3.0398184950634004
GL086862E27829N,2015-08,2015,8,276.1468916862242,2.9968916862242168
GL086862E27829N,2015-09,2015,9,275.0558901892768,1.9058901892768176
GL086862E27829N,2015-10,2015,10,269.5469909585932,-3.6030090414067786
GL086862E27829N,2015-11,2015,11,265.84717180464,-7.30282819535995
GL086862E27829N,2015-12,2015,12,262.13547263606904,-11.014527363930938
GL086862E27829N,2016-01,2016,1,259.2284306762039,-13.921569323796064
GL086862E27829N,2016-02,2016,2,262.3710790392996,-10.77892096070036
GL086862E27829N,2016-03,2016,3,264.48695968299785,-8.663040317002128
GL086862E27829N,2016-04,2016,4,268.56912439134385,-4.580875608656129
GL086862E27829N,2016-05,2016,5,271.5353436418759,-1.6146563581240798
GL086862E27829N,2016-06,2016,6,275.7810249540541,2.631024954054112
GL086862E27829N,2016-07,2016,7,276.44686280527424,3.296862805274259
GL086862E27829N,2016-08,2016,8,276.1228850169848,2.972885016984833
GL086862E27829N,2016-09,2016,9,275.0893209881253,1.9393209881253028
GL086862E27829N,2016-10,2016,10,271.16020721517583,-1.9897927848241463
GL086862E27829N,2016-11,2016,11,266.83294031355115,-6.317059686448829
GL086862E27829N,2016-12,2016,12,266.3816547803981,-6.768345219601827
GL086862E27829N,2017-01,2017,1,258.7126943116547,-14.437305688345305
GL086862E27829N,2017-02,2017,2,262.5926180339995,-10.557381966000492
GL086862E27829N,2017-03,2017,3,262.35722010622743,-10.792779893772549
GL086862E27829N,2017-04,2017,4,268.1427250120375,-5.007274987962489
GL086862E27829N,2017-05,2017,5,271.47377373069844,-1.6762262693015373
GL086862E27829N,2017-06,2017,6,275.2975792566935,2.1475792566935183
GL086862E27829N,2017-07,2017,7,276.30587823929324,3.1558782392932585
GL086862E27829N,2017-08,2017,8,276.4765686322284,3.3265686322284296
GL086862E27829N,2017-09,2017,9,275.1982687208388,2.0482687208387915
GL086862E27829N,2017-10,2017,10,271.21627986046576,-1.9337201395342165
GL086862E27829N,2017-11,2017,11,265.19185943603514,-7.958140563964832
GL086862E27829N,2017-12,2017,12,265.1464986903693,-8.003501309630678
GL086862E27829N,2018-01,2018,1,263.0894000966062,-10.06059990339378
GL086862E27829N,2018-02,2018,2,262.2801770936875,-10.869822906312493
GL086862E27829N,2018-03,2018,3,263.9890054066976,-9.160994593302403
GL086862E27829N,2018-04,2018,4,267.5281474007501,-5.621852599249905
GL086862E27829N,2018-05,2018,5,271.0190482601043,-2.1309517398956928
GL086862E27829N,2018-06,2018,6,275.6884729385376,2.538472938537609
GL086862E27829N,2018-07,2018,7,276.88769910668816,3.737699106688183
GL086862E27829N,2018-08,2018,8,276.3522667423371,3.2022667423371445
GL086862E27829N,2018-09,2018,9,274.7581171247694,1.6081171247694217
GL086862E27829N,2018-10,2018,10,267.69615764002646,-5.453842359973521
GL086862E27829N,2018-11,2018,11,265.5497994952732,-7.600200504726786
GL086862E27829N,2018-12,2018,12,260.7520362279748,-12.39796377202515
GL086862E27829N,2019-01,2019,1,256.59175169339744,-16.558248306602536
GL086862E27829N,2019-02,2019,2,258.20850208827426,-14.94149791172572
GL086862E27829N,2019-03,2019,3,260.81995763060866,-12.330042369391322
